Date,Page,Query,Clicks,Impressions,CTR,Position
2024-08-15,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,program aplikasi dari microsoft yang dapat digunakan untuk membuat animasi 2 dimensi adalah,8,148,0.05405405405405406,2.391891891891892
2024-08-19,https://flashcomindonesia.com/,flashcom indonesia,8,27,0.2962962962962963,1.0
2024-08-20,https://flashcomindonesia.com/,flashcom indonesia,8,23,0.34782608695652173,1.0869565217391304
2024-08-27,https://flashcomindonesia.com/,flashcom indonesia,8,28,0.2857142857142857,1.1071428571428572
2024-09-06,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,sebutkan software apa saja yang termasuk 2d dan 3d,8,16,0.5,1.0625
2024-09-23,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,8,14,0.5714285714285714,1.1428571428571428
2024-09-24,https://flashcomindonesia.com/,flashcom indonesia,8,29,0.27586206896551724,1.0
2024-10-07,https://flashcomindonesia.com/,flashcom indonesia,8,19,0.42105263157894735,1.0
2024-10-09,https://flashcomindonesia.com/,flashcom indonesia,8,19,0.42105263157894735,1.0526315789473684
2024-10-17,https://flashcomindonesia.com/,flashcom indonesia,8,24,0.3333333333333333,1.0833333333333333
2025-02-06,https://flashcomindonesia.com/perbedaan-web-design-dan-web-programming.html,tulilah perbedaan desain web dengan pemrograman web,8,24,0.3333333333333333,2.666666666666667
2024-04-22,https://flashcomindonesia.com/,flashcom indonesia,7,20,0.35,1.0
2024-05-01,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,sebutkan software apa saja yang termasuk 2d dan 3d,7,12,0.5833333333333334,1.0
2024-07-06,https://flashcomindonesia.com/,flashcom indonesia,7,17,0.4117647058823529,1.0588235294117647
2024-07-17,https://flashcomindonesia.com/,flashcom indonesia,7,38,0.18421052631578946,1.0263157894736843
2024-08-26,https://flashcomindonesia.com/,flashcom indonesia,7,17,0.4117647058823529,1.0
2024-09-07,https://flashcomindonesia.com/,flashcom indonesia,7,24,0.2916666666666667,1.0416666666666667
2024-10-24,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,7,10,0.7,1.2
2024-11-07,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,7,10,0.7,1.2
2024-11-21,https://flashcomindonesia.com/,flashcom indonesia,7,20,0.35,1.0
2024-11-26,https://flashcomindonesia.com/,flashcom indonesia,7,19,0.3684210526315789,1.0
2024-12-12,https://flashcomindonesia.com/,flashcom indonesia,7,25,0.28,1.0
2024-12-29,https://flashcomindonesia.com/,flashcom indonesia,7,16,0.4375,1.0
2025-01-07,https://flashcomindonesia.com/,flashcom,7,15,0.4666666666666667,14.266666666666667
2025-01-12,https://flashcomindonesia.com/,flashcom indonesia,7,28,0.25,1.1428571428571428
2025-01-19,https://flashcomindonesia.com/,flashcom indonesia,7,12,0.5833333333333334,1.0833333333333333
2025-02-03,https://flashcomindonesia.com/perbedaan-web-design-dan-web-programming.html,tulilah perbedaan desain web dengan pemrograman web,7,17,0.4117647058823529,2.5882352941176467
2025-03-05,https://flashcomindonesia.com/perbedaan-web-design-dan-web-programming.html,sebutkan 6 perbedaan antara desain web dengan pemrograman web,7,36,0.19444444444444445,3.4166666666666665
2025-04-28,https://flashcomindonesia.com/,flashcom,7,14,0.5,7.142857142857143
2025-07-29,https://flashcomindonesia.com/,flashcom indonesia,7,13,0.5384615384615384,1.0
2024-04-02,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,6,7,0.8571428571428571,1.0
2024-04-14,https://flashcomindonesia.com/training-admin-perkantoran.html,training admin adalah,6,15,0.4,1.0
2024-04-17,https://flashcomindonesia.com/,flashcom indonesia,6,15,0.4,1.4
2024-04-22,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,6,10,0.6,1.0
2024-05-05,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,6,12,0.5,1.0
2024-05-13,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,6,9,0.6666666666666666,1.1111111111111112
2024-05-26,https://flashcomindonesia.com/7-aplikasi-membuat-foto-3d-di-android.html,edit foto 3d,6,15,0.4,1.1333333333333333
2024-05-28,https://flashcomindonesia.com/,flashcom indonesia,6,18,0.3333333333333333,1.0
2024-06-02,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,software yang digunakan untuk membuat animasi 2d adalah ….,6,29,0.20689655172413793,1.0
2024-06-05,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,software yang digunakan untuk membuat animasi 2d adalah,6,42,0.14285714285714285,1.1428571428571428
2024-06-13,https://flashcomindonesia.com/jenis-gaya-desain-logo.html,gaya logo,6,12,0.5,1.0833333333333333
2024-06-20,https://flashcomindonesia.com/jenis-gaya-desain-logo.html,gaya logo,6,7,0.8571428571428571,1.0
2024-07-02,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,6,14,0.42857142857142855,1.0
2024-07-14,https://flashcomindonesia.com/,flashcom,6,12,0.5,12.416666666666666
2024-07-16,https://flashcomindonesia.com/,flashcom indonesia,6,17,0.35294117647058826,1.0
2024-07-17,https://flashcomindonesia.com/,flashcom,6,13,0.46153846153846156,11.76923076923077
2024-07-21,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,6,10,0.6,1.0
2024-07-22,https://flashcomindonesia.com/,flashcom,6,13,0.46153846153846156,11.384615384615385
2024-07-25,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,6,11,0.5454545454545454,1.1818181818181819
2024-08-01,https://flashcomindonesia.com/,flashcom,6,10,0.6,12.8
2024-08-08,https://flashcomindonesia.com/,flashcom indonesia,6,19,0.3157894736842105,1.0526315789473684
2024-08-12,https://flashcomindonesia.com/,flashcom indonesia,6,22,0.2727272727272727,1.0909090909090908
2024-08-18,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,program aplikasi dari microsoft yang dapat digunakan untuk membuat animasi 2 dimensi adalah,6,47,0.1276595744680851,1.6170212765957448
2024-08-25,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,6,8,0.75,1.125
2024-08-28,https://flashcomindonesia.com/,flashcom indonesia,6,26,0.23076923076923078,1.0384615384615385
2024-08-30,https://flashcomindonesia.com/,flashcom indonesia,6,28,0.21428571428571427,1.0357142857142858
2024-09-02,https://flashcomindonesia.com/,flashcom indonesia,6,34,0.17647058823529413,1.0
2024-09-02,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,6,7,0.8571428571428571,1.1428571428571428
2024-09-10,https://flashcomindonesia.com/,flashcom indonesia,6,29,0.20689655172413793,1.0689655172413792
2024-09-19,https://flashcomindonesia.com/,flashcom indonesia,6,17,0.35294117647058826,1.1176470588235294
2024-09-25,https://flashcomindonesia.com/,flashcom indonesia,6,44,0.13636363636363635,1.0227272727272727
2024-09-28,https://flashcomindonesia.com/aplikasi-desain-grafis-pembuat-vektor-android.html,aplikasi vector android,6,11,0.5454545454545454,1.7272727272727273
2024-10-04,https://flashcomindonesia.com/,flashcom indonesia,6,20,0.3,1.05
2024-10-14,https://flashcomindonesia.com/,flashcom indonesia,6,17,0.35294117647058826,1.2352941176470589
2024-10-15,https://flashcomindonesia.com/,flashcom indonesia,6,15,0.4,1.2666666666666666
2024-10-23,https://flashcomindonesia.com/,flashcom indonesia,6,46,0.13043478260869565,1.0
2024-10-28,https://flashcomindonesia.com/,flashcom indonesia,6,29,0.20689655172413793,1.103448275862069
2024-11-10,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat tembok di autocad,6,7,0.8571428571428571,1.0
2024-12-07,https://flashcomindonesia.com/,flashcom indonesia,6,23,0.2608695652173913,1.0
2024-12-26,https://flashcomindonesia.com/,flashcom indonesia,6,18,0.3333333333333333,1.0
2024-12-27,https://flashcomindonesia.com/,flashcom indonesia,6,25,0.24,1.0
2025-01-02,https://flashcomindonesia.com/,flashcom indonesia,6,18,0.3333333333333333,1.0
2025-01-06,https://flashcomindonesia.com/,flashcom indonesia,6,23,0.2608695652173913,1.0434782608695652
2025-01-07,https://flashcomindonesia.com/,flashcom indonesia,6,33,0.18181818181818182,1.0
2025-01-08,https://flashcomindonesia.com/,flashcom indonesia,6,28,0.21428571428571427,1.0
2025-01-18,https://flashcomindonesia.com/,flashcom,6,13,0.46153846153846156,9.923076923076923
2025-01-29,https://flashcomindonesia.com/karakteristik-java-programming.html,karakteristik java,6,42,0.14285714285714285,3.642857142857143
2025-02-05,https://flashcomindonesia.com/perbedaan-web-design-dan-web-programming.html,tulilah perbedaan desain web dengan pemrograman web,6,24,0.25,2.666666666666667
2025-03-11,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,6,7,0.8571428571428571,1.0
2025-05-21,https://flashcomindonesia.com/,flashcom indonesia,6,27,0.2222222222222222,1.0
2025-07-04,https://flashcomindonesia.com/,flashcom indonesia,6,14,0.42857142857142855,1.0
2025-07-14,https://flashcomindonesia.com/,flashcom indonesia,6,30,0.2,1.0333333333333334
2024-04-14,https://flashcomindonesia.com/training-admin-perkantoran.html,admin training adalah,5,22,0.22727272727272727,1.0
2024-04-15,https://flashcomindonesia.com/training-admin-perkantoran.html,training admin,5,29,0.1724137931034483,1.0
2024-04-18,https://flashcomindonesia.com/,flashcom indonesia,5,18,0.2777777777777778,1.0
2024-04-26,https://flashcomindonesia.com/,flashcom indonesia,5,12,0.4166666666666667,1.0
2024-04-28,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,sebutkan 3 software untuk membuat animasi 2d dan 3d,5,79,0.06329113924050633,2.5949367088607596
2024-05-15,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,7,0.7142857142857143,1.2857142857142856
2024-05-20,https://flashcomindonesia.com/7-aplikasi-membuat-foto-3d-di-android.html,edit foto 3d,5,9,0.5555555555555556,1.2222222222222223
2024-05-23,https://flashcomindonesia.com/tips-membuat-layout-halaman.html,urutan membuat layout,5,27,0.18518518518518517,1.074074074074074
2024-05-25,https://flashcomindonesia.com/7-aplikasi-membuat-foto-3d-di-android.html,edit foto 3d,5,8,0.625,1.125
2024-06-04,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,software yang digunakan untuk membuat animasi 2d adalah,5,37,0.13513513513513514,1.3783783783783785
2024-06-05,https://flashcomindonesia.com/hal-yang-perlu-diperhatikan-pada-desain-grafis.html,sebagai seorang designer hal apakah yang perlu anda perhatikan,5,62,0.08064516129032258,1.7419354838709677
2024-06-10,https://flashcomindonesia.com/,flashcom indonesia,5,23,0.21739130434782608,1.0434782608695652
2024-06-11,https://flashcomindonesia.com/jenis-gaya-desain-logo.html,gaya logo,5,7,0.7142857142857143,1.4285714285714286
2024-06-12,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,sebutkan software apa saja yang termasuk 2d dan 3d,5,11,0.45454545454545453,1.0
2024-06-21,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,8,0.625,1.125
2024-06-24,https://flashcomindonesia.com/jenis-gaya-desain-logo.html,gaya logo,5,7,0.7142857142857143,1.1428571428571428
2024-07-01,https://flashcomindonesia.com/,flashcom indonesia,5,19,0.2631578947368421,1.1052631578947367
2024-07-01,https://flashcomindonesia.com/lowongan-kerja,flashcom indonesia,5,18,0.2777777777777778,2.0
2024-07-05,https://flashcomindonesia.com/aplikasi-desain-grafis-pembuat-vektor-android.html,aplikasi vector android,5,10,0.5,1.0
2024-07-08,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,8,0.625,1.0
2024-07-09,https://flashcomindonesia.com/cara-rendering-sketchup.html,cara render sketchup,5,15,0.3333333333333333,4.466666666666667
2024-07-20,https://flashcomindonesia.com/,flashcom indonesia,5,19,0.2631578947368421,1.1578947368421053
2024-07-23,https://flashcomindonesia.com/lowongan-kerja,flashcom indonesia,5,29,0.1724137931034483,2.4827586206896552
2024-07-30,https://flashcomindonesia.com/,flashcom indonesia,5,17,0.29411764705882354,1.1764705882352942
2024-07-30,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat tembok di autocad,5,6,0.8333333333333334,1.0
2024-07-31,https://flashcomindonesia.com/,flashcom indonesia,5,23,0.21739130434782608,1.0
2024-08-18,https://flashcomindonesia.com/,flashcom indonesia,5,20,0.25,1.1
2024-08-18,https://flashcomindonesia.com/tips-membuat-layout-halaman.html,cara membuat layout,5,11,0.45454545454545453,1.0
2024-08-31,https://flashcomindonesia.com/,flashcom indonesia,5,24,0.20833333333333334,1.0416666666666667
2024-09-03,https://flashcomindonesia.com/,flashcom indonesia,5,15,0.3333333333333333,1.0
2024-09-04,https://flashcomindonesia.com/,flashcom indonesia,5,14,0.35714285714285715,1.0714285714285714
2024-09-07,https://flashcomindonesia.com/,flashcom,5,11,0.45454545454545453,14.727272727272727
2024-09-07,https://flashcomindonesia.com/lowongan-kerja,flashcom indonesia,5,22,0.22727272727272727,2.8636363636363633
2024-09-08,https://flashcomindonesia.com/aplikasi-desain-grafis-pembuat-vektor-android.html,aplikasi vector android,5,11,0.45454545454545453,1.4545454545454546
2024-09-10,https://flashcomindonesia.com/lowongan-kerja,flashcom indonesia,5,26,0.19230769230769232,2.6923076923076925
2024-09-12,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,7,0.7142857142857143,1.4285714285714286
2024-09-16,https://flashcomindonesia.com/,flashcom indonesia,5,19,0.2631578947368421,1.0
2024-09-17,https://flashcomindonesia.com/,flashcom indonesia,5,31,0.16129032258064516,1.032258064516129
2024-09-22,https://flashcomindonesia.com/,flashcom indonesia,5,12,0.4166666666666667,1.0
2024-09-24,https://flashcomindonesia.com/,flashcom,5,13,0.38461538461538464,10.538461538461538
2024-09-24,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,8,0.625,1.5
2024-09-26,https://flashcomindonesia.com/aplikasi-desain-grafis-pembuat-vektor-android.html,aplikasi vector android,5,11,0.45454545454545453,1.2727272727272727
2024-09-27,https://flashcomindonesia.com/lowongan-kerja,flashcom indonesia,5,33,0.15151515151515152,2.6969696969696972
2024-09-29,https://flashcomindonesia.com/,flashcom indonesia,5,20,0.25,1.0
2024-10-09,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,7,0.7142857142857143,1.4285714285714286
2024-10-17,https://flashcomindonesia.com/aplikasi-desain-grafis-pembuat-vektor-android.html,aplikasi vector android,5,5,1.0,1.0
2024-10-18,https://flashcomindonesia.com/,flashcom indonesia,5,12,0.4166666666666667,1.1666666666666667
2024-10-23,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,12,0.4166666666666667,1.1666666666666667
2024-11-09,https://flashcomindonesia.com/,flashcom indonesia,5,11,0.45454545454545453,1.0
2024-11-12,https://flashcomindonesia.com/,flashcom indonesia,5,19,0.2631578947368421,1.0
2024-11-13,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,8,0.625,1.0
2024-11-17,https://flashcomindonesia.com/,flashcom indonesia,5,9,0.5555555555555556,1.0
2024-11-17,https://flashcomindonesia.com/aplikasi-desain-grafis-pembuat-vektor-android.html,aplikasi vector android,5,5,1.0,1.0
2024-11-17,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,7,0.7142857142857143,1.1428571428571428
2024-12-09,https://flashcomindonesia.com/,flashcom indonesia,5,28,0.17857142857142858,1.0
2024-12-09,https://flashcomindonesia.com/lowongan-kerja,flashcom indonesia,5,23,0.21739130434782608,2.8260869565217392
2024-12-10,https://flashcomindonesia.com/,flashcom indonesia,5,13,0.38461538461538464,1.0
2024-12-26,https://flashcomindonesia.com/,flashcom,5,11,0.45454545454545453,12.090909090909092
2025-02-10,https://flashcomindonesia.com/,flashcom indonesia,5,10,0.5,1.1
2025-02-11,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,7,0.7142857142857143,1.0
2025-02-12,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,10,0.5,1.0
2025-02-24,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,6,0.8333333333333334,1.0
2025-03-03,https://flashcomindonesia.com/perbedaan-web-design-dan-web-programming.html,sebutkan 6 perbedaan antara desain web dengan pemrograman web,5,37,0.13513513513513514,3.5945945945945947
2025-04-15,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,6,0.8333333333333334,1.3333333333333333
2025-05-01,https://flashcomindonesia.com/,flashcom indonesia,5,10,0.5,1.1
2025-05-05,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,5,9,0.5555555555555556,1.3333333333333333
2025-05-15,https://flashcomindonesia.com/,flashcom,5,10,0.5,12.5
2025-06-11,https://flashcomindonesia.com/,flashcom indonesia,5,17,0.29411764705882354,1.0
2025-07-24,https://flashcomindonesia.com/,flashcom indonesia,5,17,0.29411764705882354,1.0
2025-07-30,https://flashcomindonesia.com/,flashcom indonesia,5,11,0.45454545454545453,1.0
2025-08-07,https://flashcomindonesia.com/,flashcom,5,9,0.5555555555555556,3.0
2024-04-05,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,6,0.6666666666666666,1.0
2024-04-14,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,6,0.6666666666666666,1.0
2024-04-15,https://flashcomindonesia.com/7-aplikasi-membuat-foto-3d-di-android.html,edit foto 3d,4,9,0.4444444444444444,1.3333333333333333
2024-04-15,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,9,0.4444444444444444,1.0
2024-04-17,https://flashcomindonesia.com/7-aplikasi-membuat-foto-3d-di-android.html,edit foto 3d,4,7,0.5714285714285714,1.0
2024-04-18,https://flashcomindonesia.com/lowongan-kerja,flashcom indonesia,4,16,0.25,2.375
2024-04-23,https://flashcomindonesia.com/aplikasi-desain-grafis-pembuat-vektor-android.html,aplikasi vector,4,6,0.6666666666666666,2.666666666666667
2024-04-24,https://flashcomindonesia.com/aplikasi-desain-grafis-pembuat-vektor-android.html,aplikasi vektor,4,11,0.36363636363636365,1.9090909090909092
2024-04-24,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,5,0.8,1.0
2024-04-24,https://flashcomindonesia.com/cara-rendering-sketchup.html,cara render sketchup,4,23,0.17391304347826086,4.130434782608695
2024-04-28,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,8,0.5,1.0
2024-04-29,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,sebutkan software apa saja yang termasuk 2d dan 3d,4,5,0.8,1.0
2024-04-30,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,7,0.5714285714285714,1.0
2024-05-06,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara buat dinding di autocad,4,7,0.5714285714285714,1.4285714285714286
2024-05-06,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,10,0.4,1.0
2024-05-08,https://flashcomindonesia.com/jenis-gaya-desain-logo.html,gaya dari logo,4,5,0.8,3.4
2024-05-10,https://flashcomindonesia.com/aplikasi-desain-grafis-pembuat-vektor-android.html,aplikasi vector android,4,8,0.5,1.0
2024-05-13,https://flashcomindonesia.com/cara-menggunakan-brush-tool.html,cara menggunakan brush tool di photoshop,4,6,0.6666666666666666,1.0
2024-05-14,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,10,0.4,1.3
2024-05-15,https://flashcomindonesia.com/jenis-gaya-desain-logo.html,gaya dari logo,4,15,0.26666666666666666,3.933333333333333
2024-05-16,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,6,0.6666666666666666,1.0
2024-05-19,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,7,0.5714285714285714,1.5714285714285714
2024-05-20,https://flashcomindonesia.com/aplikasi-desain-grafis-pembuat-vektor-android.html,aplikasi vector android,4,13,0.3076923076923077,1.0
2024-05-22,https://flashcomindonesia.com/aplikasi-desain-grafis-pembuat-vektor-android.html,apk vector art,4,4,1.0,1.75
2024-05-22,https://flashcomindonesia.com/membuat-efek-transisi-video.html,langkah-langkah memberikan efek transisi pada video activity,4,13,0.3076923076923077,1.0
2024-05-22,https://flashcomindonesia.com/tips-membuat-layout-halaman.html,urutan membuat layout,4,13,0.3076923076923077,1.0
2024-05-23,https://flashcomindonesia.com/tips-membuat-layout-halaman.html,urutan yang paling tepat dalam membuat layout,4,22,0.18181818181818182,1.5
2024-05-27,https://flashcomindonesia.com/,flashcom indonesia,4,10,0.4,1.0
2024-05-27,https://flashcomindonesia.com/membuat-efek-transisi-video.html,langkah-langkah memberikan efek transisi pada video activity,4,4,1.0,1.0
2024-05-27,https://flashcomindonesia.com/tips-membuat-layout-halaman.html,cara membuat layout,4,15,0.26666666666666666,1.0
2024-05-28,https://flashcomindonesia.com/7-aplikasi-membuat-foto-3d-di-android.html,edit foto 3d,4,8,0.5,1.0
2024-06-04,https://flashcomindonesia.com/kursus-komputer-bersertifikat-di-makassar.html,kursus komputer makassar,4,13,0.3076923076923077,2.1538461538461537
2024-06-06,https://flashcomindonesia.com/7-aplikasi-membuat-foto-3d-di-android.html,edit foto 3d,4,5,0.8,1.6
2024-06-09,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,software yang digunakan untuk membuat animasi 2d adalah,4,15,0.26666666666666666,1.0
2024-06-10,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,5,0.8,1.0
2024-06-11,https://flashcomindonesia.com/,flashcom indonesia,4,16,0.25,1.0625
2024-06-11,https://flashcomindonesia.com/jenis-gaya-desain-logo.html,gaya dari logo,4,10,0.4,2.8
2024-06-12,https://flashcomindonesia.com/,flashcom,4,11,0.36363636363636365,10.818181818181818
2024-06-13,https://flashcomindonesia.com/kursus-komputer-bersertifikat-di-makassar.html,kursus komputer makassar,4,15,0.26666666666666666,2.0666666666666664
2024-06-14,https://flashcomindonesia.com/,flashcom indonesia,4,16,0.25,1.0625
2024-06-15,https://flashcomindonesia.com/jenis-gaya-desain-logo.html,gaya logo,4,5,0.8,1.2
2024-06-18,https://flashcomindonesia.com/,flashcom indonesia,4,22,0.18181818181818182,1.0
2024-06-21,https://flashcomindonesia.com/,flashcom indonesia,4,14,0.2857142857142857,1.2142857142857142
2024-06-23,https://flashcomindonesia.com/,flashcom indonesia,4,17,0.23529411764705882,1.0
2024-06-23,https://flashcomindonesia.com/7-aplikasi-membuat-foto-3d-di-android.html,edit foto 3d,4,6,0.6666666666666666,1.1666666666666667
2024-06-26,https://flashcomindonesia.com/kursus-komputer-bersertifikat-di-makassar.html,kursus komputer makassar,4,13,0.3076923076923077,3.4615384615384617
2024-06-29,https://flashcomindonesia.com/,flashcom,4,15,0.26666666666666666,10.666666666666666
2024-06-29,https://flashcomindonesia.com/,flashcom indonesia,4,18,0.2222222222222222,1.0
2024-06-30,https://flashcomindonesia.com/,flashcom indonesia,4,9,0.4444444444444444,1.0
2024-06-30,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,4,5,0.8,1.0
2024-07-02,https://flashcomindonesia.com/,flashcom,4,10,0.4,10.5
